Character,Number_Periods
BA?AR2,1
MUNUS_(SAL)+KU_(DR__TUKUL__TUSZ)+,1
TAB,1
ZUM,1
IGI_(SZI__LIM)+UR+,1
ASZ+ASZ+,1
SZESZ_(URI3)+AB+,1
UD_(BABBAR)+DU+,1
SZU+KAR2_(GN-ten_and_SZ-ten)+,1
SZIR,1
UD-gun,1
EN+ZU+,1
ZI?+A+AN+,1
UMUMKASKAL,1
GISZGAL_(URUMIN),1
?AL,1
SZRA_(LAGABSIG7),1
UD_(BABBAR)+KA+BAR+,1
UD_(BABBAR)+NUN+,1
TE,1
BANIA_(SZ._UoverUGE23overGE23),1
SZE3_(ESZ2__GI7__ZI3)+SZE+,1
SZANABI_(23),1
LU2BAD,1
KISAL,1
GA-gun,1
ERIM_(ZALAG2),1
NE+RU+,1
ALIM_(GIR3_A.IGI),1
NI+GISZ_(GESZ)+,1
ILIMMU2_(TAB.TAB.TAB.TAB.ASZ),1
GESZTIN_(GISZ.DIN),1
GUG2_(LU2;_SZ-gun),1
AZ_(PIRIGZA),1
UR3_(GA2NIR),1
DISZ_(1)+DISZ_(1)+DISZ_(1)+,1
TA?DA?_(MUoverMU),1
PA+AL+,1
DUR_(GxGAG__G.GAG),1
NI+UD_(BABBAR)+,1
UG_(PIRIGUD),1
KI+BI+,1
U+UD_(BABBAR)+KID_(LIL2)+,1
IL_(ALSZE),1
B+KU_(DR__TUKUL__TUSZ)+,1
BI+U2+SA+,1
EGIR,1
KAB,1
TE+AB+,1
SZUBUR,1
SUD_(BU-gun),1
SZEG9_(SZ.SZE.KU.GAG),1
SZAR,1
?U+SI+,1
UR2,1
nine_SZAR2,1
five_SZAR2,1
GIR2-gun,1
DAR3,1
KAR2_(GN-ten_and_SZ-ten),1
KAD4,1
NNDA,1
SZIMSIG7,1
ANSZE_(GRPA_or_GRTAB)+IGI_(SZI__LIM)+SZE3_(ESZ2__GI7__ZI3)+,1
SU+A+,1
URUKAR2,1
LU_(UDU)+?L+,1
NAG_(KAA),1
MUNUS_(SAL)+SILA4_(GA2PA)+,1
GA2GI4,1
GUL_(SN),1
DARA4_(SIG2+ASZ),1
IGI_(SZI__LIM)+SZE3_(ESZ2__GI7__ZI3)+,1
GAD,1
ME+ESZ_(3U)+,1
NU11+BUR_(NG-gun)+,1
UZU,1
BALAG,1
GIGIR_(LAGABBAD),1
SU?USZ_(DU-gun),1
PAD_(SZUK)+AN+MSZ_(INANNA)+,1
ZU5,1
BUL_(LAGABESZ),1
TU6_(KALI),1
TE+UNUG_(AB-gun_andor_ABESZ)+,1
BKR,1
nine_GESZ2,1
?B,1
SAGGAG,1
SZINIG_(GAD.NAGA),1
PA+TUG2_(NM)+,1
ENGUR_(LAGAB?AL),1
PAN,1
AN+GE23_(DISZ-ten)+AN+,1
DUN4_(UR-gun-SZeSZSZigMIR-SZeSZSZig),1
seven_SZAR2,1
LX_(6U),1
A+SZU+NAGA+,1
MI+NUNUZ+,1
A+SZE+NIR_(NUNoverNUN)+,1
SZE+SZE+NIR_(NUNoverNUN)+,1
SZIMNG_(BAPPIR),1
KI+UD_(BABBAR)+,1
KISZ,1
PIRIG,1
KUN,1
AN+NAGA+,1
ANSZE_(GRPA_or_GRTAB)+ARAD+,1
DU6_(LAGAR-gun)+DU+,1
two_SZAR2,1
DU?GUNGUN,1
IMIN_(7),1
TIR,1
BANSZUR_(URUURUDU),1
MUSZ,1
ESZEMIN5_(BI),1
GE23_(DISZ-ten),1
GISZ_(GESZ)+KSZU+,1
NA?,1
NUN+LAGAR+,1
PA+?B+DU+,1
BN_(KAIM),1
BL_(GIBIL;_NEPAB__NE-SZeSZSZig),1
NINA_(AB?A),1
ALAM_(GU4overGU4.NA),1
SZIR+GI4_(GI-gun)+,1
ZA+MSZ_(INANNA)+,1
SZUL_(DUN),2
SAG5,2
GUR8_(TE-gun),2
nine_DISZ,2
SZID_(LAG),2
SILA4_(GA2PA),2
US,2
GIR3,2
LUM,2
A+AN+,2
GURUSZ,2
KINGUSILA,2
TIL,2
AR_(IGI.RI),2
GISZKREUZTGISZ,2
KUR,2
IR_(GAG-gun),2
ASZ4_(TAB.TAB.TAB),2
SIG,2
EL,2
GU4,2
SZESZ_(URI3)+KI+,2
NUN,2
one_GESZ2,2
DUG_(BIA),2
GIR_(?A-gun),2
A+ENGUR_(LAGAB?AL)+,2
NAM,2
GU7_(KANG),2
SA,2
two_GESZ2,2
TE+A+,2
UNUG_(AB-gun_andor_ABESZ),2
BN,2
UD_(BABBAR)+UD_(BABBAR)+,2
IL2_(GA.GN),2
EZEN,2
eight_GESZ2,2
UN,2
A?_(?INUN)+ME+,2
LUL_(NAR),2
SSU_(TAB.TAB.TAB.TAB),2
PAD_(SZUK),2
LAGAR,2
UZ3_(M.KASKAL),2
BARA2,2
A+SU+,2
DUL3_(SAG-gun),2
MA?,2
A?_(?INUN),2
NUMUN,2
IGI_(SZI__LIM)+RU+,2
BAD3_(UG5_(EZENBAD)),2
MAR,2
MUG,2
BUR_(NG-gun),2
ARAD,2
LAL3_(TA?I),2
three_GESZ2,2
IMIN2_(TAB.TAB.TAB.ASZ),2
LAGAB,2
EN+KID_(LIL2)+,2
GANUN_(GA2NUN),2
Z(_ABPA),2
LISZ,2
SUG_(LAGABA),2
four_GESZ2,2
seven_GESZ2,2
PU3_(KAKR),2
ANSZE_(GRPA_or_GRTAB),2
SZIM,2
ZI?,2
PU3_(KAKR)+SZA+,2
N,2
LAM,2
TUR_(DUMU)+USZ_(NITA)+,2
KD_(TAG4),2
ZU+AB+,2
PA+KASZ4_(DU-SZeSZSZig)+,2
SU4_(SI-gun),2
DIM,2
five_GESZ2,2
GAM,2
MES_(RID),2
PA+TE+SI+,2
GISZ_(GESZ)+MI+,2
PAB_or_PAP+PAB_or_PAP+,2
GA2GI,2
SZDU_(KASZU),2
G_(NNDANE),2
NAGAR,2
U8_(LAGAB_GU4overGU4,2
EDIN,2
KASZ4_(DU-SZeSZSZig),2
?L,2
LAGAB+LAGAB+,2
KA+DI+,2
GAZ_(KUMSZE),2
DU+DU+,2
?ASZ?UR_(MA-gun),2
IGI_(SZI__LIM)+DUB+,2
IA2_(5),3
GAN,3
NINNU_(5U),3
AMAR_(ZUR),3
GABA,3
APIN_(ENGAR),3
IA7_(TAB.TAB.ASZ),3
DAR_(GN;_?U-gun__SI-gun),3
ASZ2_(ZIZ2),3
URUDU_(URUDA),3
BANMIN_(PA),3
BANLIMMU_(SZ.UGE23),3
MASZ2,3
KIN,3
TAR,3
SIG2__SK,3
MA2,3
MI,3
ESZ5(3),3
SZ,3
DU6_(LAGAR-gun),3
USSU_(8),3
A2,3
SI,3
IGI_(SZI__LIM)+ERIM_(ZALAG2)+,3
SU,3
GIR2,3
other,3
GIM_(DIM2),3
GU2_(TIK),3
BAD,3
SZA,3
ISZ,3
four_ASZ,3
AD,3
GI4_(GI-gun),3
NIM,3
NIGIDAMIN_(DISZoverDISZ),3
BAR,3
SZUSZANA_(13),3
PA+LU_(UDU)+,3
?U,3
LU?,3
TAG_(SZUM),3
MSZ_(INANNA),3
PAB_or_PAP,3
NINDSZE,3
SI+A+,3
ARAD2_(ARADKUR),3
SUR_(SZUR),3
KUM_(GUM),3
TL_(LAGABU),3
Z,3
B,3
GIN2_(TUN3),3
AM_(GU4KUR),3
KASKAL,3
EME_(KAME),3
DE2_(SIMUG),3
IG_(GL),4
MUNUS_(SAL)+TUG2_(NM)+,4
KA,4
PA,4
NE,4
GAN2,4
DUB,4
GUR,4
SA6,4
SZE3_(ESZ2__GI7__ZI3),4
seven_DISZ,4
MASZ,4
?I_(DG),4
UM,4
USZ_(NITA),4
four_DISZ,4
AG,4
IM,4
SZESZ_(URI3),4
SIG4,4
GA2_(MAL),4
RU,4
UL_(DU7),4
ESZ6_(ASZ.ASZ.ASZ),4
SUM,4
URU_(IRI),4
UB,4
DAM,4
TUK_(TUG),4
NIGIDAESZ_(DISZoverDISZ.DISZ),4
DI,4
AMA_(GA2AN),4
TU,4
BAL,4
MUNUS_(SAL)+KUR+,4
GAR3_(QAR),4
IGI_(SZI__LIM),5
UD_(BABBAR),5
SZU,5
TI,5
ITI_(UDESZ),5
TUR_(DUMU),5
SAG,5
KID_(LIL2),5
GA,5
TA,5
ASZ,5
ZA,5
TUM,5
AL,5
ESZ_(3U),5
RI,5
KAL,5
LA,5
MIN_(2),5
U+U+,5
?IBAD,5
GAG_(KAK),5
U3_(IGI.DIB),5
BU_(GID2),5
E,5
LI,5
?AR_(?ISZ),5
KU_(DR__TUKUL__TUSZ),5
PI,5
NU,5
LU_(UDU),5
SILA3,5
ZAG,5
IB,5
GI,5
GU,5
UR,6
AN,6
DISZ_(1),6
U,6
MA,6
ZU,6
DA,6
