Tablet,Error
HS_1352,Rotated
HS_284,ObverseAndReverseSwitched
HS_295,ObverseAndReverseSwitched
HS_309,ObverseAndReverseSwitched
HS_350,ObverseAndReverseSwitched
HS_356,ObverseAndReverseSwitched
HS_388,ObverseAndReverseSwitched
HS_439,ObverseAndReverseSwitched
HS_442,ObverseAndReverseSwitched
HS_444,ObverseAndReverseSwitched
HS_835,ObverseAndReverseSwitched
HS_853,ObverseAndReverseSwitched
HS_864,ObverseAndReverseSwitched
HS_868,ObverseAndReverseSwitched
HS_888,ObverseAndReverseSwitched
HS_908,ObverseAndReverseSwitched
HS_910,ObverseAndReverseSwitched
HS_911,ObverseAndReverseSwitched
HS_915,ObverseAndReverseSwitched
HS_921,ObverseAndReverseSwitched
HS_931,ObverseAndReverseSwitched
HS_941,ObverseAndReverseSwitched
HS_1003,ObverseAndReverseSwitched
HS_1051,ObverseAndReverseSwitched
HS_1052,ObverseAndReverseSwitched
HS_1059,ObverseAndReverseSwitched
HS_1063,ObverseAndReverseSwitched
HS_1069,ObverseAndReverseSwitched
HS_1072,ObverseAndReverseSwitched
HS_1079,ObverseAndReverseSwitched
HS_1099,ObverseAndReverseSwitched
HS_1139,ObverseAndReverseSwitched
HS_1151,ObverseAndReverseSwitched
HS_1152,ObverseAndReverseSwitched
HS_1153,ObverseAndReverseSwitched
HS_1161,ObverseAndReverseSwitched
HS_1165,ObverseAndReverseSwitched
HS_1175,ObverseAndReverseSwitched
HS_1176,ObverseAndReverseSwitched
HS_1252,ObverseAndReverseSwitched
HS_1319,ObverseAndReverseSwitched
HS_1320,ObverseAndReverseSwitched
HS_1321,ObverseAndReverseSwitched
HS_1322,ObverseAndReverseSwitched
HS_1332,ObverseAndReverseSwitched
HS_1333,ObverseAndReverseSwitched
HS_1334,ObverseAndReverseSwitched
HS_1335,ObverseAndReverseSwitched
HS_1337,ObverseAndReverseSwitched
HS_1340,ObverseAndReverseSwitched
HS_1347,ObverseAndReverseSwitched
HS_1356,ObverseAndReverseSwitched
HS_2253,ObverseAndReverseSwitched
HS_2266,ObverseAndReverseSwitched
HS_2274,ObverseAndReverseSwitched
HS_2306,ObverseAndReverseSwitched
